Linux 6.6.23 (eternity8) 	2025년 05월 29일 	_x86_64_	(40 CPU)

14시 40분 53초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 40분 59초       6      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초       7      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초       8      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초       9      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      10      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      11      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      12      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      13      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      14      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      15      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      16      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      17      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      18      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      19      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      20      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      21      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      22      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      23      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      24      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      25      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      26      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      27      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      28      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      29      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      30      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      31      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      32      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      33      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      34      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      35      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      36      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      37      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      38      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 59초      39      0.00      0.00      0.00      0.00      0.00    100.00

14시 40분 59초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 41분 00초     all      1.00      0.00      0.45      0.08      0.00     98.47
14시 41분 00초       0     25.25      0.00      5.05      0.00      0.00     69.70
14시 41분 00초       1      0.00      0.00      1.00      0.00      0.00     99.00
14시 41분 00초       2      4.00      0.00      0.00      0.00      0.00     96.00
14시 41분 00초       3      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초       4      1.00      0.00      0.00      0.00      0.00     99.00
14시 41분 00초       5      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초       6      0.00      0.00      1.98      0.00      0.00     98.02
14시 41분 00초       7      0.00      0.00      1.00      0.00      0.00     99.00
14시 41분 00초       8      0.00      0.00      1.00      0.00      0.00     99.00
14시 41분 00초       9      3.00      0.00      1.00      0.00      0.00     96.00
14시 41분 00초      10      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      11      0.00      0.00      1.00      0.00      0.00     99.00
14시 41분 00초      12      1.96      0.00      1.96      0.00      0.00     96.08
14시 41분 00초      13      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      14      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      15      0.00      0.00      1.01      0.00      0.00     98.99
14시 41분 00초      16      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      17      0.00      0.00      1.00      0.00      0.00     99.00
14시 41분 00초      18      1.01      0.00      0.00      0.00      0.00     98.99
14시 41분 00초      19      1.00      0.00      0.00      0.00      0.00     99.00
14시 41분 00초      20      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      21      3.00      0.00      0.00      0.00      0.00     97.00
14시 41분 00초      22      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      23      1.00      0.00      0.00      0.00      0.00     99.00
14시 41분 00초      24      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      25      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      26      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      27      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      28      0.00      0.00      0.00      3.03      0.00     96.97
